question,answer
"What is the purpose of the RAMTAS routine?","Perform RAM test"
"What is the call address of the RAMTAS routine?","$FF87 (hex) 65415 (decimal)"
"What registers are used for communication in the RAMTAS routine?","A, X, Y"
"What is the stack requirement for the RAMTAS routine?","2"
"What registers are affected by the RAMTAS routine?","A, X, Y"
"What is the description of the RAMTAS routine?","This routine is used to test RAM and set the top and bottom of memory pointers accordingly. It also clears locations $0000 to $0101 and $0200 to $03FF. It also allocates the cassette buffer, and sets the screen base to $0400."
"What is the typical use of the RAMTAS routine?","Normally, this routine is called as part of the initialization process of a Commodore 64 program cartridge."
"What is cleared by the RAMTAS routine?","locations $0000 to $0101 and $0200 to $03FF"
"What is allocated by the RAMTAS routine?","the cassette buffer"
"What is set by the RAMTAS routine?","the screen base to $0400"
"What is the typical location of the RAMTAS routine?","part of the initialization process of a Commodore 64 program cartridge"
